Cross Lingual Text;Sentiment;
Defenetely rakshit shetty;Mixed_feelings;
Idu yava game bro;Mixed_feelings;
Super agi helidi anna;Positive;
Lifestyle super guru;Positive;
Adre ivaga beda. Ee COVID-19 ella mugibeku;Positive;
Yappa huchhu hidustide.....asn.....awesom;Positive;
ಅರ್ಜುನ್ ಜನ್ಯ ಅವರೇ ನೋಡಿ ಅಜನೀಶ್ ಲೋಕನಾಥ್ ಅತ್ರ ಹೋಗಿ ಮೂಸಿಕ್ ಮಾಡೋದನ್ನ ಕಲಿಯಿರಿ 🤣n#Odeya movie ಗೆ ಏನ್ ಮ್ಯೂಸಿಕ್ ಕೊಟ್ಟಿದಿಯ ಸ್ವಾಮಿ........... ತೂ 🤭🤭;Negative;
ಯಪ್ಪಾ ನನ್ನ ಒಂದು ಕಾಮೆಂಟ್ 3ಕೆ ಲೈಕ್ ತಗೊಳ್ಳುತ್ತೆ.. ಆದರೆ ನನ್ನಂತ ಸಾಮಾನ್ಯ ಯೂಟ್ಯೂಬ್ ಚಾನಲ್ 3ಕೆ ಫಾಲೋವರ್ಸ್ ಮಾಡೋಕೆ ಕಷ್ಟ ಪಡ್ತಿದ್ದಿನಿ.. ನನ್ನ ಚಾನಲ್ ಅಭಿವೃದ್ದಿ ಮಾಡ್ತೀರಾ??;Negative;
Difirent music & lirics;unknown_state;
ನಿಮ್ಮ ಚಾನಲ್ ಗೆ subscribe ಆಗಿದಕ್ಕೆ ಕುಶಿ ಆಯಿತು;unknown_state;
ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್ sir is  back;Positive;
ಸ್ವಾಭಿಮಾನದಿಂದ ಬದುಕೋದು ಮನುಷ್ಯನ ಅಸಲಿ ಗುಣ ಇದನ್ನು ಎಲ್ರು ಅಳವಡಿಸಿಕೊಳ್ಳಬೇಕು;Positive;
ವಾವ್ ಸರ್ ನಿಮ್ಮ ಮಾತು ನೂರಕ್ಕೆ ನೂರು ಸತ್ಯ  ಸೂಪರ್ ಸರ್;Positive;
niddeburak thumba ne strong iddane guru;Positive;
ಸಾರ್ ಸಾರ್ಥಕ ಬದುಕು ನಿಮ್ಮದುnಸತ್ಯಶುದ್ಧ ಕಾಯಕ ನಿಮ್ಮದು;Positive;
Super anna yenu thappila yela sari agi hellidira super;Positive;
Signature move;not-Kannada;
+RUDRAGOUDA MARIGOUDRA super;not-Kannada;
@sharath sharu nin ammun tullge nayi mari tunne sigaka yako sule magne nin dagar sule maga adung adtiya;Negative;
Vijay prakash sir super voice;Positive;
Thu.... Gaandu.... Ninobba gandsa;Negative;
Movie is too good;Positive;
Anna super Anna;Positive;
ravi chandra ಸಂಗ ಸ;unknown_state;
Woooooooowwwwwwoooooooowwwwooo rakshith shetty bro;not-Kannada;
ಅಣ್ಣ ಇನ್ನೊಂದ್ ಸ್ವಲ್ಪ ಉಗಿರಿ ಅವರಿಗೆ ನಮ್ಮ ಯೋಧರ ಬಗ್ಗೆ ಚಿಂತನೆ ಮಾಡುತ್ತಿಲ್ಲ ತಿರುಬೋಕಿ ಇನ್ನು ಸ್ವಲ್ಪ ಚೆನ್ನಾಗಿ ಉಗಿರಿ ಅಣ್ಣ;Negative;
Janapada in North karnatak;not-Kannada;
ತೊಗರಿ ತಿಪ್ಪಾ ಹಾಸ್ಯ ಚಟಾಕಿ ಮಸ್ತ ಐತಿ ರಿ;Positive;
ಈ ಸಾಂಗ್ ಎಷ್ಟು ಅಡಿಕ್ಟ್ ಆಗಿದೆ ಅಂದ್ರೆ ಡೈಲಿ ಮಿನಿಮಮ್ 5 ರಿಂದ 6 ಸಲ ನೋಡ್ಬೇಕು ಅನ್ಸುತ್ತೆ....ನೀವೇನ್ ಅಂತೀರಾ;Positive;
@AJITH S SHETTY appreciate madtaidane guru;Negative;
100 ಕೋಟಿ ಫಾರ್ month or day haa anna;Positive;
Nakkan idhu subject Andre eevag heltheeni industry change aagthide... Thousand times better than Jaatre films of sarjas...;Positive;
Balasiddare Sir hands up anta;Mixed_feelings;
Rama rama tusu daksha jaripa‍;Positive;
ನಿಜವಾದ ಕನ್ನಡಿಗ ಈ ರೀತಿ ಇಬ್ಬರು ನಟರ ಅಭಿಮಾನಿಗಳ ಮಧ್ಯ ತಂದಿಡೋ ಬದ್ಲು..... ಎಲ್ಲ ನಟರನ್ನೂ ಪ್ರೋತ್ಸಾಹಿಸ್ತಾನೆ.;Positive;
Ganesh Bhat -ಇಷ್ಟ  ಅಸಭ್ಯವಾಗಿ ನಿನು ಬ್ರಾಹ್ಮಣನಾಗಿ ಮಾತಾಡುವದು ಸರಿ ಅಲ್ಲಾ. ಯಾರಿಗೆ ಮರಾಯ ನಿನ್ನ ಮನೆ ಮಜ್ಜಿಗೆ ಬೆಕಾಗಿದೆ;Negative;
I hope salmaan vai didn't watch it;unknown_state;
Hands... Up....;not-Kannada;
@Rohith K le nin dagar bandli agtavne modlu kudlu olskoloke yelu ella nin avnu musodilla🤣🤣;Negative;
ಸೂಪರ್ ಸಾಂಗ್ ಆಲ್ ದಿ ಬೆಸ್ಟ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅಣ್ಣ;Positive;
@Reginald Kelly ಲೆ ತುಕಾಲಿ ನಿನ್ನ ಸಂಸ್ಕೃತಿ ತೋರಿಸುತ್ತೆ ನಿನ್ನ ಎಷ್ಟು ಕಚಡ ಅಂತ;Negative;
Howdu brother nanu tv nalli nodidde evru elidnella avru elidru;Mixed_feelings;
HAI NANOO KOODA ...BHARATHnNANGU ASTE NIDDE ONDU DODDA KAYILE...AGIDE;Positive;
a new milestone in kannada movie;not-Kannada;
Sir modalu namm Deshadalli Tustikaran rajakarana irorvaregu namm paristiti ide;Positive;
Instagram fallow back kodi Nev obre alla eradu;Negative;
Ashwathama ge korona bandru bandirabahudu...!;Mixed_feelings;
Namana Kudlada rakshith shetty innu orsbeku rashmikage Thu avla Janmake;Negative;
Kannada super song;not-Kannada;
ಚೈನಾ ಟಿಕ್ ಟಾಕ್ ಯೂಸ್ ಮಾಡ್ಕೊಂಡು ಚೈನಾ ಬಗ್ಗೆ;Positive;
Nam oorigu  bandidda. Nanu chicken biryani tinsi  kalsde;unknown_state;
@Rajashekar Khandare ಕ್ರಷ್ಣನೇ ಶಾಪ ಕೊಡುವುದು ...ಮಯ್ಯಲ್ಲಿ ಕೀವು ತುಂಬಿ ಚಿರಂಜೀವಿ ಆಗಿ ತಿರುಗಾಡುತ್ತಾ ಇರು ಅಂತ....;Positive;
Keli kadiruva bandhavarennBhuviyalli avana aritavarennYarilla bidi;unknown_state;
ರಶ್ಮಿಕಾ ಗಿಂತ ಒಳ್ಳೆ ಹುಡುಗಿ ಸಿಗಲಿ ಒಳ್ಳೇದು ಅಗುಲಿ ನಿಮಗೆ;Positive;
Super song guru;Positive;
ನಂಗೆ ತುಂಬಾ ಬೇಜರಾಯಿತು ಒಂದು ಒಳ್ಳೆ ಸಿನಿಮಾ ಮಿಸ್ ಮಾಡ್ಕೊಂಡೆ ಅಂತ theater li ನೋಡಬೇಕಿತ್ತು.nI feel guilty;Mixed_feelings;
Jaathigalu ee deshada belavanigege athi dodda thodakaagide.;Negative;
Super conceptnReally Prajwal Devaraj eetara cinema select madi madtare ankondirlilla super concept;Positive;
@VARAPRASAD K K super bro;not-Kannada;
Heliro prati ondu point super brooo adrallu yaro obba yallo eno agidakke tiktok ban madavre anta helidnalla avnige saryagi uttara kottidira super nivu;Negative;
Hodtha Guru sng;Positive;
Hahah baari guru;Mixed_feelings;
Hindi version plzzz;not-Kannada;
U r great sir. ಶ್ರಮ ಜೀವಿ;Positive;
सर आप लोगो से निवेदन है आप छत्तीसगढ़ मध्य्प्रदेश इस तरफ़ खुद की टाकीज खरीद लीजिये जिसमे सिर्फ साउथ की डब मूवी ही चलेगी आपसे रिक्वेस्ट है आप पैसा इन्वेस्ट करके दिखे छत्तीसगढ़ दुर्ग में तरुण बिग सिनेमा खाली हो रहा है आप दुर्ग में इन्वेस्ट कर सकते है nफिर क्या आप लोग धीरे धीरे पूरे हर जिलों में 1 सिनेमा घर आप अलॉट करते जाना फिर देखना आपकी हर मूवी को हम देख सकते है और अच्छा बिजनेस भी कर सकेगी;not-Kannada;
First India na America ke compare madtidru alli hangide ingide anta ivaga. India na China compare madtavre nnNav bari compare madtivi vartu namunyaru compare modo hage hogalla;Negative;
ಕೆ ಜಿ ಎಪ್ ನಂತರ ಮತ್ತೂಂದು ಕನ್ನಡದ  ಹೆಮ್ಮೆ;Positive;
Super songs;not-Kannada;
Good job bro.;not-Kannada;
En bgm guru chindi;Negative;
Game name pls bro;Mixed_feelings;
Avalige chapalige odiri;Negative;
Nam indiadallu tic tok thara app kandidobodu thane;Mixed_feelings;
Jai Hind  jai Karnatakan               AndnSuper song bro;Positive;
Super super song;not-Kannada;
ಯೂಟ್ಯೂಬ್ನಲ್ಲಿ ದಿನನಿತ್ಯ ತುಂಬಾ ವಿಡಿಯೋಗಳು  ನೋಡಿದ್ದೆ  ಆದರೆ ನನಗೆ ತುಂಬಾ ಇಷ್ಟವಾದ ವಿಡಿಯೋ ಇದು. ತುಂಬಾ ಅದ್ಭುತವಾದ ಮಾತುಗಳು ಸರ್ ಆ ದೇವರು ನಿಮಗೆ ಇನ್ನೂ ಆಯಸ್ಸು ಆರೋಗ್ಯ ಹೆಚ್ಚು ಕೊಡಲಿ ಎಂದು ಪ್ರಾರ್ಥಿಸುತ್ತೇವೆ. ನಿಮ್ಮ ನಿಷ್ಕಲ್ಮಶವಾದ ಮನಸ್ಸು ನು ಯಾವತ್ತಿಗೂ ಆ ದೇವರು ಕೈ ಬಿಡುವುದಿಲ್ಲ ನಿಮಗೂ ನಿಮ್ಮ ಕುಟುಂಬದವರಿಗೂ ದಸರಾ ಹಾಗೂ ದೀಪಾವಳಿ ಹಬ್ಬದ ಶುಭಾಶಯಗಳು.... ಹಾಗೂ ಈ ವಿಡಿಯೋ ಮಾಡಿದ ಮಾಧ್ಯಮದವರಿಗೂ ದನ್ಯವಾದಗಳು;Negative;
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ;Positive;
Kannada film  industry avaru sir solpa nodi rii yen madta ididra inta ashvath sir avara maga ondu sanni veshe dalli kalsa Kodi;Mixed_feelings;
🤣🤣🤣brooo I'm big fan;not-Kannada;
Sir social media bittu horgade thumba publicity beku dayavitu madi;Mixed_feelings;
Super super bro 🤣🤣;unknown_state;
ಡಾ//ಶಂಭು ಬಳಿಗಾರರ ಮಾತು ಹುಗ್ಗಿ ಹಾಲು ಉಂಡಷ್ಟು ರುಚಿ... ನಾನು ಬಾಲ್ಯದಿಂದಲೇ ಅವರ ಈ ಹಾಸ್ಯ ಕಥೆಗಳನ್ನು ಕೇಳುತ್ತ ಬೆಳೆದವನು...;Positive;
Most super song;Positive;
U missed duniyaa movie;unknown_state;
Tik Tok tune hunkondh hoeyhu Tik Tok madhuru china avaradhu tune unri🤣🤣🤣🤣🤣;Negative;
KGF (chaffer 2) bega bara beku;Positive;
super super super;not-Kannada;
Rakshit shetty Future superstar annoru Like madi;unknown_state;
@VARAPRASAD K K balegaara banda nin Amman ge bale idsakke dagaar banda nin Amman keyyakke soole magne;Negative;
Di(A)di nHuge fan from nTamilnadu;Positive;
ಕೈನಲ್ ಏನೂ ಕೂಡಾ ಕಿಸಿಯೊಕೆ ಆಗದ ಕಿಡಿಗೇಡಿಗಳು ಬೆನ್ನ ಹಿಂದೆ ಬೆಂಕಿ ಹಚ್ಚಿ ನಗ್ತಾರೆ.. ಆದರೆ ಅವರಿಗೆಂಗೊತ್ತು ಆ ಬೆಂಕಿಲೆ  ಇಡೀ ವಿಶ್ವದಲ್ಲಿ  ಚರಿತ್ರೆ ಸೃಷ್ಟಿ ಮಾಡೋಕೆ ಅವನು ಬಂದೆ ಬರ್ತಾನೆ ಅಂತ ಯಾರವನು  ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ;Mixed_feelings;
ಒಳ್ಳೆ ಐಡಿಯಾ ಕೊಟ್ಟಿದ್ದೀಯ ದುಡ್ಡು ಕಳ್ಕೊಂಡು ಜೀವ ಕಳಕೊಳ್ಳ ಪರಿಸ್ಥಿತಿ ಚಿರಂಜೀವಿ ಅಶ್ವಥಾಮ ಮಗೆ ಬರಬಹುದು ಈ ಅನುಭವ ನಮಗೆ ಆಗಿದೆ;Positive;
ಮೊದ್ಲು ಡಿಲೀಟ್  ಮಾಡ್ರೋ ಯಾವನು ಯವಳು  ಹಾಕೊಂಡಿದೀರಾ tiktok ಲೇ ದೇಶದ್ರೋಹಿಗಳ ಡಿಲೀಟ್ ಮಾಡ್ರಲಾ ಚಪ್ಪರ್ಗಳ  ಚೀನಿ ಆಪ್ ಗಳು ಯಾವು ಇದಾವೆ ಎಲ್ಲಾ ಮಾಡ್ರೋ ಈ ವಿಡಿಯೋ ದಲ್ಲಿ ಕೆಲವೊಂದು ಕಚಡಗಳು ಮಾತಾಡಿದವಲ್ಲ ಅವು ದೇಶದ್ರೋಹಿಗಳು ಸುಟ್ಟಾಕ್ರೋ ಅವರ್ನೆಲ್ಲ;Negative;
urkolli nodi avrella;Negative;
Matte release made pakka reseve madkolthare navu hoge nodthive please;Positive;
@prithvi nayak ಚಪ್ಪರ್ ಬೋಳಿಮಕ್ಳ.. ಲುಚ್ಛನ್ ಫ್ಯಾನ್ಸ್ ಬುದ್ದಿ ಎಲ್ಲಿಗೆ ಹೋಗುತ್ತೆ ಎಲ್ಲಿ ಹೋದ್ರು ಬರಿ ಉರ್ಕೋಳ್ಳೋದೇ ಆಯ್ತು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.. ನಿಮ್ಮ ಲುಚನ್ಗೆ ಹೇಳ್ದ್ರೋ ಒಂದಾದ್ರು ಹಿಟ್ ಸೀರಿಯಲ್ ಕೊಡು ಅಂತಾ ಪೈಲ್ವಾನ್ ಸೀರಿಯಲ್ ಆಲ್ಸೋ ಫ್ಲಾಪ್;Negative;
Swag karenge sabka swagath...ek tha tiger  song copied music?;Negative;
Rakshit boss Super dance u r looking like karate king shaankar nag ND Vishnuvardan boss m Vishnu sir fan;Positive;
Tik tok  bevarsigalanna chaina   gadiyalli chaddiyalli bomb ettu chaina  kade  odisa beku avaga sari agutte;Negative;
@Nandi Parthasarathi ಡಗಾರ್ ಸೂಳೆ ನಿನ್ ತುಲ್ಲಗೆ ಬಕಾರ್ಡಿ ಬಿಯರ್ ತುರ್ಕಾ;Positive;
Super edit anna;Positive;
@MOVIES BOX innu baiko..... naan yen avn fan alla🤣.... avn film fan ashte;Negative;
Hindi song yavaga release madtira?;Positive;
Shambu baligar avara maathaduva shaili super;Positive;
Super. Guru.;Positive;
Rashmika andre yaru guru nThukali sule edalala avle erboda;Negative;
Nanagu hage ansate;Positive;
ಎಲ್ಲರೂ HANDS UP ಸೈಲೆಂಟ್ ಆಗಿರಿ ಶ್ರೀ ಮನ್ನಾ ರಾಯನ ಬಂದವ್ನೆ...;Positive;
Fab Trailer;not-Kannada;
ಸತ್ಯಕ್ಕೆ ದೂರವಾದ ವಿಚಾರ . ಯಾಕೆ ಸುಳ್ಳು ಹೇಳುತ್ತಾರಿ;Negative;
Kalki Avathara(superb song);unknown_state;
Rakshit shetty sir ge jai;Positive;
ಒಬ್ರು ಹೋಗಿ ಫಿಲ್ಮ್ ನೋಡಲ್ಲ;Negative;
I am feeling like;not-Kannada;
Suppar anna I am army boy;Mixed_feelings;
obba batta na gi. e rethi bare you du sare alla. namma darmmake.nave.......;Negative;
Hero.heroin very good;Positive;
Super bro;not-Kannada;
ಶಂಕರ್ ನಾಗ್ ಅವರ ಅಭಿನಯದ ಸಾಮ್ಯತೆ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಅವರಲ್ಲಿ ಕಾಣಬಹುದಾಗಿದೆ;Positive;
Slow poisoning song;not-Kannada;
jai d boss;Positive;
ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಆಲ್ ದ ಬೆಸ್ಟ್ ಆಲ್ ದ ಬೆಸ್ಟ್;Positive;
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ;Positive;
Super rakshith shetty;unknown_state;
I like your comments;Positive;
Wonderfull super amazing song superrrrrrrrr;not-Kannada;
ಬಿಟ್ಟ ಹೋಗಿರೋ ರಶ್ಮಿಕಾ ಗೆ ಹೇಗ್ ಆಗ್ಬೇಕು ಗೊತ್ತಾ ಯಾಕಾದ್ರೂ ಬಿಟ್ಟ ಹೋದೆ ರಕ್ಷಿತ ಅವರನ್ನ ಅಂತ ಫೀಲ್ ಆಗ್ಬೇಕು ಆ ತರಾ success ನಿಮ್ಮದಾಗಲಿ ಶ್ರೀನಮ್  ನಾರಾಯಣ ಸಿನಿಮಾ;Negative;
