,Unnamed: 0,Sentiment,Cross_Lingual_Text,Processed_text,Translated_text,FULL_kannada
10,10,0,Nimge istu sullu heloke Hege manasu barutte,Nimge istu sullu heloke Hege manasu barutte,ನಿಮಗೆ ಇಷ್ಟು ಸುಳ್ಳು ಹೇಳೋಕೆ ಹೇಗೆ ಮನಸು ಬರುತ್ತೆ,ನಿಮಗೆ ಇಷ್ಟು ಸುಳ್ಳು ಹೇಳೋಕೆ ಹೇಗೆ ಮನಸು ಬರುತ್ತೆ
11,11,0,Yenri sullu heltira fake fake fake fake fake,Yenri sullu heltira fake fake fake fake fake,ಏನ್ರೀ ಸುಳ್ಳು ಹೇಳ್ತಿರಾ ಫೇಕ್ ಫೇಕ್ ಫೇಕ್ ಫೇಕ್ ಫೇಕ್,ಏನ್ರೀ ಸುಳ್ಳು ಹೇಳ್ತಿರಾ ಫೇಕ್ ಫೇಕ್ ಫೇಕ್ ಫೇಕ್ ಫೇಕ್
12,12,1,ನನಗೆ ಮಹಾಭಾರತ ಕಥೆ ಕೇಳಲು ತುಂಬಾ ಇಷ್ಟ ನಾನು ಮಹಾಭಾರತ ಓದಿದ್ದೆನೆ,ನನಗೆ ಮಹಾಭಾರತ ಕಥೆ ಕೇಳಲು ತುಂಬಾ ಇಷ್ಟ ನಾನು ಮಹಾಭಾರತ ಓದಿದ್ದೆನೆ,ನನಗೆ ಮಹಾಭಾರತ ಕಥೆ ಕೇಳಲು ತುಂಬಾ ಇಷ್ಟ ನಾನು ಮಹಾಭಾರತ ಓದಿದ್ದೆನೆ,ನನಗೆ ಮಹಾಭಾರತ ಕಥೆ ಕೇಳಲು ತುಂಬಾ ಇಷ್ಟ ನಾನು ಮಹಾಭಾರತ ಓದಿದ್ದೆನೆ
13,13,3,ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ  ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ,ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ,ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ,ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ
14,14,0,ನಿಜಕೂ ಈದು ಆಚರಿನೇ🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤥🤥🤥🤓🤡🤡🤡🤠🤠🤠,ನಿಜಕೂ ಈದು ಆಚರಿನೇ,ನಿಜಕೂ ಈದು ಆಚರಿನೇ,ನಿಜಕೂ ಈದು ಆಚರಿನೇ
15,15,0,Loo baccha koura holle avaru,Loo baccha koura holle avaru,ಲೂ ಬಚ್ಚ ಕೌರಾ ಹೊಳ್ಳೆ ಅವರು,ಲೂ ಬಚ್ಚ ಕೌರಾ ಹೊಳ್ಳೆ ಅವರು
16,16,3,ನನಗು ತೊರಸಿ ಅಶ್ವತ್ತಾಮರಾ,ನನಗು ತೊರಸಿ ಅಶ್ವತ್ತಾಮರಾ,ನನಗು ತೊರಸಿ ಅಶ್ವತ್ತಾಮರಾ,ನನಗು ತೊರಸಿ ಅಶ್ವತ್ತಾಮರಾ
17,17,1,Anna sumne video madedhya nodu,Anna sumne video madedhya nodu,ಅಣ್ಣ ಸುಮ್ನೆ ವಿಡಿಯೋ ಮಾಡಿದ್ಯಾ ನೋಡು,ಅಣ್ಣ ಸುಮ್ನೆ ವಿಡಿಯೋ ಮಾಡಿದ್ಯಾ ನೋಡು
18,18,3,ನಾಲ್ಕು ಯುಗಗಳು ಮುಗಿದ ಮೇಲೆ ಪುನ,ನಾಲ್ಕು ಯುಗಗಳು ಮುಗಿದ ಮೇಲೆ ಪುನ,ನಾಲ್ಕು ಯುಗಗಳು ಮುಗಿದ ಮೇಲೆ ಪುನ,ನಾಲ್ಕು ಯುಗಗಳು ಮುಗಿದ ಮೇಲೆ ಪುನ
19,19,1,ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ ನೀವು ಪುರಾಣದಲ್ಲಿ ಬರುವ  ಯಲ್ಲರಿಗೂ ಬಹುವಚನ ದಿಂದ ಮಾತಾಡ್ತಿರ ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ,ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ ನೀವು ಪುರಾಣದಲ್ಲಿ ಬರುವ ಯಲ್ಲರಿಗೂ ಬಹುವಚನ ದಿಂದ ಮಾತಾಡ್ತಿರ ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ,ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ ನೀವು ಪುರಾಣದಲ್ಲಿ ಬರುವ ಯಲ್ಲರಿಗೂ ಬಹುವಚನ ದಿಂದ ಮಾತಾಡ್ತಿರ ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ,ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ ನೀವು ಪುರಾಣದಲ್ಲಿ ಬರುವ ಯಲ್ಲರಿಗೂ ಬಹುವಚನ ದಿಂದ ಮಾತಾಡ್ತಿರ ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ
20,20,0,Nam mane gu bandida,Nam mane gu bandida,ನಮ ಮನೆ ಗು ಬಂದಿದೆ,ನಮ ಮನೆ ಗು ಬಂದಿದೆ
21,21,3,Raktha rathri yakshagana nodi maryare,Raktha rathri yakshagana nodi maryare,ರಕ್ತ ರಾತ್ರಿ ಯಕ್ಷಗಾನ ನೋಡಿ ಮರ್ಯರೇ,ರಕ್ತ ರಾತ್ರಿ ಯಕ್ಷಗಾನ ನೋಡಿ ಮರ್ಯರೇ
22,22,0,Guru e badyav heltirod bari sulu,Guru e badyav heltirod bari sulu,ಗುರು ಎ ಬಡ್ಯಾವ್ ಹೇಳ್ತಿರೋಡ್ ಬರಿ ಸುಳ್ಳು,ಗುರು ಎ ಬಡ್ಯಾವ್ ಹೇಳ್ತಿರೋಡ್ ಬರಿ ಸುಳ್ಳು
23,23,2,Drona pandavara para iddre ivneke kouravara para iddana.????,Drona pandavara para iddre ivneke kouravara para iddana,ದ್ರೋಣ ಪಾಂಡವರ ಪರಾ ಇದ್ದ್ರೆ ಇವನೇಕೆ ಕೌರವರ ಪರ ಇದ್ದಾನ,ದ್ರೋಣ ಪಾಂಡವರ ಪರಾ ಇದ್ದ್ರೆ ಇವನೇಕೆ ಕೌರವರ ಪರ ಇದ್ದಾನ
24,24,1,ಇದು ನಿಜಾನಾ ಗುರುವೇ,ಇದು ನಿಜಾನಾ ಗುರುವೇ,ಇದು ನಿಜಾನಾ ಗುರುವೇ,ಇದು ನಿಜಾನಾ ಗುರುವೇ
25,25,3,Yes edre adare yli?,Yes edre adare yli,ಯಸ್ ಇದ್ರೆ ಆದರೆ ವೈಲಿ,ಯಸ್ ಇದ್ರೆ ಆದರೆ ವೈಲಿ
26,26,2,Nimge henge gotthu neevu en alle idra,Nimge henge gotthu neevu en alle idra,ನಿಮಗೆ ಹೆಂಗೆ ಗೊತ್ತು ನೀವು ಏನ್ ಅಲ್ಲೇ ಇದ್ರ,ನಿಮಗೆ ಹೆಂಗೆ ಗೊತ್ತು ನೀವು ಏನ್ ಅಲ್ಲೇ ಇದ್ರ
27,27,1,Super sir,Super sir,ಸೂಪರ್ ಸರ್,ಸೂಪರ್ ಸರ್
28,28,1,Nav evna nodabahuda,Nav evna nodabahuda,ನಾವ್ ಈವ್ನ ನೋಡಬಹುದಾ,ನಾವ್ ಈವ್ನ ನೋಡಬಹುದಾ
29,29,1,ನಾರಾಯಣ ಸಂತ ಅವರ ಮಹಾಭಾರತದ ಪುಸ್ತಕದ ಮಾಹಿತಿ ಕಳುಹಿಸಿ,ನಾರಾಯಣ ಸಂತ ಅವರ ಮಹಾಭಾರತದ ಪುಸ್ತಕದ ಮಾಹಿತಿ ಕಳುಹಿಸಿ,ನಾರಾಯಣ ಸಂತ ಅವರ ಮಹಾಭಾರತದ ಪುಸ್ತಕದ ಮಾಹಿತಿ ಕಳುಹಿಸಿ,ನಾರಾಯಣ ಸಂತ ಅವರ ಮಹಾಭಾರತದ ಪುಸ್ತಕದ ಮಾಹಿತಿ ಕಳುಹಿಸಿ
30,30,1,Nav avnaa meet agboda sir?,Nav avnaa meet agboda sir,ನಾವ್ ಅವನ ಮೀಟ್ ಆಗಬೋದನ್ ಸರ್,ನಾವ್ ಅವನ ಮೀಟ್ ಆಗಬೋದನ್ ಸರ್
31,31,1,Avanu allla bro avaru annabeku,Avanu allla bro avaru annabeku,ಅವನು ಅಲ್ಲ್ಲ ಬ್ರೋ ಅವರು ಅನ್ನಬೇಕು,ಅವನು ಅಲ್ಲ್ಲ ಬ್ರೋ ಅವರು ಅನ್ನಬೇಕು
32,32,2,Avanige gaya vasi agbeku andre..avnu krishna na bhakti madi..vasi madbeku eela Kaliyuga nasa agbeku,Avanige gaya vasi agbeku andreavnu krishna na bhakti madivasi madbeku eela Kaliyuga nasa agbeku,ಅವನಿಗೆ ಗಾಯ ವಾಸಿ ಆಗ್ಬೇಕು ಅಂದ್ರೆಅವ್ನು ಕೃಷ್ಣ ನ ಭಕ್ತಿ ಮಡಿವಾಸಿ ಮಾಡಬೇಕು ಈಳಂ ಕಲಿಯುಗ ನಾಸಾ ಆಗ್ಬೇಕು,ಅವನಿಗೆ ಗಾಯ ವಾಸಿ ಆಗ್ಬೇಕು ಅಂದ್ರೆಅವ್ನು ಕೃಷ್ಣ ನ ಭಕ್ತಿ ಮಡಿವಾಸಿ ಮಾಡಬೇಕು ಈಳಂ ಕಲಿಯುಗ ನಾಸಾ ಆಗ್ಬೇಕು
33,33,1,Uttara pradeshada lakkinpura dalli shiva pooje madtidda,Uttara pradeshada lakkinpura dalli shiva pooje madtidda,ಉತ್ತರ ಪ್ರದೇಶದ ಲಕ್ಕಿನ್ಪುರ ದಲ್ಲಿ ಶಿವ ಪೂಜೆ ಮಾಡ್ತಿದ್ದ,ಉತ್ತರ ಪ್ರದೇಶದ ಲಕ್ಕಿನ್ಪುರ ದಲ್ಲಿ ಶಿವ ಪೂಜೆ ಮಾಡ್ತಿದ್ದ
34,34,2,ಇರೋದು ಇರಭವದ್ ಗೊತ್ತಿಲ್ಲ,ಇರೋದು ಇರಭವದ್ ಗೊತ್ತಿಲ್ಲ,ಇರೋದು ಇರಭವದ್ ಗೊತ್ತಿಲ್ಲ,ಇರೋದು ಇರಭವದ್ ಗೊತ್ತಿಲ್ಲ
37,37,0,Bari ante kante Gale agoytu. Enadru solid proof torsri avar edare annoke.,Bari ante kante Gale agoytu Enadru solid proof torsri avar edare annoke,ಬರಿ ಅಂತೆ ಕಂತೆ ಗಾಲೆ ಆಗೋಯ್ತು ಏನಾದ್ರು ಸಾಲಿಡ್ ಪ್ರೂಫ್ ತೋರ್ಸರಿ ಅವರ್ ಎದರೆ ಅನ್ನೋಕೆ,ಬರಿ ಅಂತೆ ಕಂತೆ ಗಾಲೆ ಆಗೋಯ್ತು ಏನಾದ್ರು ಸಾಲಿಡ್ ಪ್ರೂಫ್ ತೋರ್ಸರಿ ಅವರ್ ಎದರೆ ಅನ್ನೋಕೆ
38,38,1,Namma manege bandidru avarige nanu nan dress kottu aliside,Namma manege bandidru avarige nanu nan dress kottu aliside,ನಮ್ಮ ಮನೆಗೆ ಬಂದಿದ್ರು ಅವರಿಗೆ ನಾನು ನಂ ಡ್ರೆಸ್ ಕೊಟ್ಟು ಅಳಿಸಿದೆ,ನಮ್ಮ ಮನೆಗೆ ಬಂದಿದ್ರು ಅವರಿಗೆ ನಾನು ನಂ ಡ್ರೆಸ್ ಕೊಟ್ಟು ಅಳಿಸಿದೆ
39,39,0,420 nan maga krishana,420 nan maga krishana,420 ನಾನ್ ಮಂಗಾ ಕೃಷ್ಣ,420 ನಾನ್ ಮಂಗಾ ಕೃಷ್ಣ
40,40,2,Aadu nane broo... Soul naa Replacement maddee... Bere body gee.. Antha aansthidee,Aadu nane broo Soul naa Replacement maddee Bere body gee Antha aansthidee,ಆದು ನಾನೇ ಬ್ರೂ ಸೋಲ್ ನಾ ಬದಲಿ ಮುದ್ದಿ ಬೇರ್ ಬಾಡಿ ಜೀ ತಂತಾ ಅನ್ಸ್ತಿದಿ,ಆದು ನಾನೇ ಬ್ರೂ ಸೋಲ್ ನಾ ಬದಲಿ ಮುದ್ದಿ ಬೇರ್ ಬಾಡಿ ಜೀ ತಂತಾ ಅನ್ಸ್ತಿದಿ
41,41,0,En kathe kattutiya guru🤣🤣🤣🤣..... . Proof kodu sullu kathe katbeda,En kathe kattutiya guru Proof kodu sullu kathe katbeda,ಏನ್ ಕಥೆ ಕಟ್ಟುತಿಯ ಗುರು ಪ್ರೂಫ್ ಕೊಡು ಸುಳ್ಳು ಕಥೆ ಕಟ್ಟಬೇಡ,ಏನ್ ಕಥೆ ಕಟ್ಟುತಿಯ ಗುರು ಪ್ರೂಫ್ ಕೊಡು ಸುಳ್ಳು ಕಥೆ ಕಟ್ಟಬೇಡ
42,42,1,Nija kano adhu...neevgalu kathe katkondirodu...alla alla antha....,Nija kano adhuneevgalu kathe katkondirodualla alla antha,ನಿಜ ಕಣೋ ಆಧುನೀವ್ಗಳು ಕಥೆ ಕಟ್ಕೊಂಡಿರೋದುಅಲ್ಲ ಅಲ್ಲ ಅಂತ,ನಿಜ ಕಣೋ ಆಧುನೀವ್ಗಳು ಕಥೆ ಕಟ್ಕೊಂಡಿರೋದುಅಲ್ಲ ಅಲ್ಲ ಅಂತ
43,43,1,Avnige ella language matadoke barutta,Avnige ella language matadoke barutta,ಅವ್ನಿಗೆ ಎಲ್ಲಾ ಲ್ಯಾಂಗ್ವೇಜ್ ಮಾತಾಡೋಕೆ ಬರುತ್ತಾ,ಅವ್ನಿಗೆ ಎಲ್ಲಾ ಲ್ಯಾಂಗ್ವೇಜ್ ಮಾತಾಡೋಕೆ ಬರುತ್ತಾ
44,44,3,Pandavaru mamsa tinthidra,Pandavaru mamsa tinthidra,ಪಾಂಡವರು ಮಾನಸ ತಿಂತಿದ್ರು,ಪಾಂಡವರು ಮಾನಸ ತಿಂತಿದ್ರು
45,45,0,ha nam manegu bandiida ...,ha nam manegu bandiida,ಹ ನಮ ಮನೆಗೂ ಬಂದೀಡ,ಹ ನಮ ಮನೆಗೂ ಬಂದೀಡ
46,46,1,Super namboke kasta agirbodu but really agirbodu,Super namboke kasta agirbodu but really agirbodu,ಸೂಪರ್ ನಂಬೋಕೆ ಕಷ್ಟ ಆಗಿರ್ಬೋದು ಬಟ್ ರಿಯಲಿ ಆಗಿರ್ಬೋದು,ಸೂಪರ್ ನಂಬೋಕೆ ಕಷ್ಟ ಆಗಿರ್ಬೋದು ಬಟ್ ರಿಯಲಿ ಆಗಿರ್ಬೋದು
47,47,1,Idu nimage hege gottaytu?,Idu nimage hege gottaytu,ಇದು ನಿಮಗೆ ಹೇಗೆ ಗೊತ್ತಾಯ್ತು,ಇದು ನಿಮಗೆ ಹೇಗೆ ಗೊತ್ತಾಯ್ತು
48,48,2,Nija 100%  but aswastama antta heg  kandiditare..,Nija 100 but aswastama antta heg kandiditare,ನಿಜ ೧೦೦ ಬಟ್ ಅಸ್ವಸ್ಥಮಾ ಅಂತ್ತ ಹೇಗ್ ಕಂಡಿಡಿತಾರೆ,ನಿಜ ೧೦೦ ಬಟ್ ಅಸ್ವಸ್ಥಮಾ ಅಂತ್ತ ಹೇಗ್ ಕಂಡಿಡಿತಾರೆ
49,49,0,Kannada ne barolla,Kannada ne barolla,ಕನ್ನಡ ನೇ ಬರೋಲ್ಲ,ಕನ್ನಡ ನೇ ಬರೋಲ್ಲ
50,50,1,Este antha helakkagall nija edhru erabahudu,Este antha helakkagall nija edhru erabahudu,ಎಷ್ಟೇ ಅಂತ ಹೇಳಕ್ಕಾಗಲ್ಲ ನಿಜ ಎದ್ರ್ ಏರಬಹುದು,ಎಷ್ಟೇ ಅಂತ ಹೇಳಕ್ಕಾಗಲ್ಲ ನಿಜ ಎದ್ರ್ ಏರಬಹುದು
51,51,3,Kaiwarada thathayya(yogi narayanappa),Kaiwarada thathayyayogi narayanappa,ಕವರದ ತಾತಯ್ಯಯೋಗಿ ನಾರಾಯಣಪ್ಪ,ಕವರದ ತಾತಯ್ಯಯೋಗಿ ನಾರಾಯಣಪ್ಪ
